"id","title","url"
"BSD-3-Clause-Open-MPI","BSD 3-Clause Open MPI variant","http://www.netlib.org/lapack/LICENSE.txt"
"BSD-4-Clause","BSD 4-Clause ""Original"" or ""Old"" License","http://directory.fsf.org/wiki/License:BSD_4Clause"
"BSD-4-Clause-Shortened","BSD 4 Clause Shortened","https://metadata.ftp-master.debian.org/changelogs//main/a/arpwatch/arpwatch_2.1a15-7_copyright"
"BSD-4-Clause-UC","BSD-4-Clause (University of California-Specific)","http://www.freebsd.org/copyright/license.html"
"BSD-Protection","BSD Protection License","https://fedoraproject.org/wiki/Licensing/BSD_Protection_License"
"BSD-Source-Code","BSD Source Code Attribution","https://github.com/robbiehanson/CocoaHTTPServer/blob/master/LICENSE.txt"
"BSL-1.0","Boost Software License 1.0","https://opensource.org/licenses/BSL-1.0"
"BUSL-1.1","Business Source License 1.1","https://mariadb.com/bsl11/"
"bzip2-1.0.5","bzip2 and libbzip2 License v1.0.5","http://bzip.org/1.0.5/bzip2-manual-1.0.5.html"
"bzip2-1.0.6","bzip2 and libbzip2 License v1.0.6","http://bzip.org/1.0.5/bzip2-manual-1.0.5.html"
"CAL-1.0","Cryptographic Autonomy License 1.0","https://opensource.org/licenses/CAL-1.0"
"CAL-1.0-Combined-Work-Exception","Cryptographic Autonomy License 1.0 (Combined Work Exception)","https://opensource.org/licenses/CAL-1.0"
"Caldera","Caldera License","http://www.lemis.com/grog/UNIX/ancient-source-all.pdf"
"CATOSL-1.1","Computer Associates Trusted Open Source License 1.1","https://opensource.org/licenses/CATOSL-1.1"
"CC-BY-1.0","Creative Commons Attribution 1.0 Generic","https://creativecommons.org/licenses/by/1.0/legalcode"
"CC-BY-2.0","Creative Commons Attribution 2.0 Generic","https://creativecommons.org/licenses/by/2.0/legalcode"
"CC-BY-2.5","Creative Commons Attribution 2.5 Generic","https://creativecommons.org/licenses/by/2.5/legalcode"
"CC-BY-2.5-AU","Creative Commons Attribution 2.5 Australia","https://creativecommons.org/licenses/by/2.5/au/legalcode"
"CC-BY-3.0","Creative Commons Attribution 3.0 Unported","https://creativecommons.org/licenses/by/3.0/legalcode"
"CC-BY-3.0-AT","Creative Commons Attribution 3.0 Austria","https://creativecommons.org/licenses/by/3.0/at/legalcode"
"CC-BY-3.0-DE","Creative Commons Attribution 3.0 Germany","https://creativecommons.org/licenses/by/3.0/de/legalcode"
"CC-BY-3.0-NL","Creative Commons Attribution 3.0 Netherlands","https://creativecommons.org/licenses/by/3.0/nl/legalcode"
"CC-BY-3.0-US","Creative Commons Attribution 3.0 United States","https://creativecommons.org/licenses/by/3.0/us/legalcode"
"CC-BY-4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/legalcode"
"CC-BY-NC-1.0","Creative Commons Attribution Non Commercial 1.0 Generic","https://creativecommons.org/licenses/by-nc/1.0/legalcode"
"CC-BY-NC-2.0","Creative Commons Attribution Non Commercial 2.0 Generic","https://creativecommons.org/licenses/by-nc/2.0/legalcode"
"CC-BY-NC-2.5","Creative Commons Attribution Non Commercial 2.5 Generic","https://creativecommons.org/licenses/by-nc/2.5/legalcode"
"CC-BY-NC-3.0","Creative Commons Attribution Non Commercial 3.0 Unported","https://creativecommons.org/licenses/by-nc/3.0/legalcode"
"CC-BY-NC-3.0-DE","Creative Commons Attribution Non Commercial 3.0 Germany","https://creativecommons.org/licenses/by-nc/3.0/de/legalcode"
"CC-BY-NC-4.0","Creative Commons Attribution Non Commercial 4.0 International","https://creativecommons.org/licenses/by-nc/4.0/legalcode"
"CC-BY-NC-ND-1.0","Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic","https://creativecommons.org/licenses/by-nd-nc/1.0/legalcode"
"CC-BY-NC-ND-2.0","Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic","https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode"
"CC-BY-NC-ND-2.5","Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic","https://creativecommons.org/licenses/by-nc-nd/2.5/legalcode"
"CC-BY-NC-ND-3.0","Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported","https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode"
"CC-BY-NC-ND-3.0-DE","Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany","https://creativecommons.org/licenses/by-nc-nd/3.0/de/legalcode"
"CC-BY-NC-ND-3.0-IGO","Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO","https://creativecommons.org/licenses/by-nc-nd/3.0/igo/legalcode"
"CC-BY-NC-ND-4.0","Creative Commons Attribution Non Commercial No Derivatives 4.0 International","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"
"CC-BY-NC-SA-1.0","Creative Commons Attribution Non Commercial Share Alike 1.0 Generic","https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode"
"CC-BY-NC-SA-2.0","Creative Commons Attribution Non Commercial Share Alike 2.0 Generic","https://creativecommons.org/licenses/by-nc-sa/2.0/legalcode"
"CC-BY-NC-SA-2.0-FR","Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France","https://creativecommons.org/licenses/by-nc-sa/2.0/fr/legalcode"
"CC-BY-NC-SA-2.0-UK","Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales","https://creativecommons.org/licenses/by-nc-sa/2.0/uk/legalcode"
"CC-BY-NC-SA-2.5","Creative Commons Attribution Non Commercial Share Alike 2.5 Generic","https://creativecommons.org/licenses/by-nc-sa/2.5/legalcode"
"CC-BY-NC-SA-3.0","Creative Commons Attribution Non Commercial Share Alike 3.0 Unported","https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode"
"CC-BY-NC-SA-3.0-DE","Creative Commons Attribution Non Commercial Share Alike 3.0 Germany","https://creativecommons.org/licenses/by-nc-sa/3.0/de/legalcode"
"CC-BY-NC-SA-3.0-IGO","Creative Commons Attribution Non Commercial Share Alike 3.0 IGO","https://creativecommons.org/licenses/by-nc-sa/3.0/igo/legalcode"
"CC-BY-NC-SA-4.0","Creative Commons Attribution Non Commercial Share Alike 4.0 International","https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode"
"CC-BY-ND-1.0","Creative Commons Attribution No Derivatives 1.0 Generic","https://creativecommons.org/licenses/by-nd/1.0/legalcode"
"CC-BY-ND-2.0","Creative Commons Attribution No Derivatives 2.0 Generic","https://creativecommons.org/licenses/by-nd/2.0/legalcode"
"CC-BY-ND-2.5","Creative Commons Attribution No Derivatives 2.5 Generic","https://creativecommons.org/licenses/by-nd/2.5/legalcode"
